date,open,close
2019-04-24,1.01,1.01
2019-04-23,1.01,1.01
2019-04-22,1.01,1.01
2019-04-21,1.01,1.01
2019-04-20,1.01,1.01
2019-04-19,1,1.01
2019-04-18,1.01,1
2019-04-17,1.01,1.01
2019-04-16,1,1.01
2019-04-15,1.01,1
2019-04-14,1.01,1.01
2019-04-13,1.01,1.01
2019-04-12,1.01,1.01
2019-04-11,1,1.01
2019-04-10,1.01,1
2019-04-09,1.01,1.01
2019-04-08,1,1.01
2019-04-07,1,1
2019-04-06,1.01,1
2019-04-05,1,1.01
2019-04-04,1.01,1.01
2019-04-03,1.01,1.01
2019-04-02,1,1.01
2019-04-01,1,1
2019-03-31,1,1
2019-03-30,0.997396,1
2019-03-29,1.01,0.998496
2019-03-28,1.01,1.01
2019-03-27,1.01,1.01
2019-03-26,1.01,1.01
2019-03-25,1.01,1.01
2019-03-24,1.01,1.01
2019-03-23,1.01,1.01
2019-03-22,1.01,1.01
2019-03-21,1.01,1.01
2019-03-20,1.02,1.01
2019-03-19,1.01,1.01
2019-03-18,1.01,1.01
2019-03-17,1.01,1.01
2019-03-16,1.01,1.01
2019-03-15,1.01,1.01
2019-03-14,1.01,1.01
2019-03-13,1.01,1.01
2019-03-12,1.01,1.01
2019-03-11,1.01,1.01
2019-03-10,1.01,1.01
2019-03-09,1.01,1.01
2019-03-08,1.01,1.01
2019-03-07,1.01,1.01
2019-03-06,1.01,1.01
2019-03-05,1.01,1.01
2019-03-04,1.01,1.01
2019-03-03,1.01,1.01
2019-03-02,1.01,1.01
2019-03-01,1.01,1.01
2019-02-28,1.01,1.01
2019-02-27,1.01,1.01
2019-02-26,1.01,1.01
2019-02-25,1.01,1.02
2019-02-24,1.01,1.01
2019-02-23,1.01,1.01
2019-02-22,1,1.01
2019-02-21,1.01,1
2019-02-20,1.01,1.01
2019-02-19,1,1.01
2019-02-18,1,1.01
2019-02-17,1,1
2019-02-16,1,1
2019-02-15,1.01,1
2019-02-14,1,1.01
2019-02-13,1,1
2019-02-12,1,1
2019-02-11,1,1
2019-02-10,1,1
2019-02-09,1,1
2019-02-08,1,1
2019-02-07,1,1
2019-02-06,0.999498,1
2019-02-05,0.998435,0.999532
2019-02-04,1,0.999826
2019-02-03,1,1
2019-02-02,1.01,1
2019-02-01,1,1.01
2019-01-31,1.01,1.01
2019-01-30,1.01,1.01
2019-01-29,1.01,1.01
2019-01-28,1.01,1.01
2019-01-27,1.01,1.01
2019-01-26,1.01,1.01
2019-01-25,1.01,1.01
2019-01-24,1.01,1.01
2019-01-23,1.01,1.01
2019-01-22,1.01,1.01
2019-01-21,1.02,1.01
2019-01-20,1.02,1.02
2019-01-19,1.01,1.02
2019-01-18,1.02,1.02
2019-01-17,1.02,1.02
2019-01-16,1.02,1.02
2019-01-15,1.02,1.02
2019-01-14,1.02,1.02
2019-01-13,1.02,1.02
2019-01-12,1.02,1.02
2019-01-11,1.03,1.02
2019-01-10,1.02,1.02
2019-01-09,1.02,1.02
2019-01-08,1.01,1.02
2019-01-07,1.02,1.01
2019-01-06,1.02,1.02
2019-01-05,1.02,1.02
2019-01-04,1.02,1.02
2019-01-03,1.02,1.02
2019-01-02,1.02,1.02
2019-01-01,1.02,1.02
2018-12-31,1.02,1.01
2018-12-30,1.03,1.02
2018-12-29,1.02,1.03
2018-12-28,1.02,1.02
2018-12-27,1.02,1.02
2018-12-26,1.02,1.02
2018-12-25,1.02,1.02
2018-12-24,1.02,1.02
2018-12-23,1.02,1.02
2018-12-22,1.01,1.02
2018-12-21,1.02,1.02
2018-12-20,1.02,1.02
2018-12-19,1.01,1.02
2018-12-18,1.01,1.01
2018-12-17,1.01,1.01
2018-12-16,1.01,1.01
2018-12-15,1,1
2018-12-14,1,1
2018-12-13,1.01,1
2018-12-12,1.01,1.01
2018-12-11,1.02,1.01
2018-12-10,1.02,1.02
2018-12-09,1.02,1.02
2018-12-08,1,1.02
2018-12-07,0.998803,1
2018-12-06,0.991397,0.998296
2018-12-05,1,0.992966
2018-12-04,0.995331,1
2018-12-03,0.996676,0.996594
2018-12-02,0.999841,0.998372
2018-12-01,0.994961,1
2018-11-30,0.996603,0.991823
2018-11-29,0.995164,0.997377
2018-11-28,0.98332,0.998622
2018-11-27,0.978976,0.98426
2018-11-26,0.975026,0.977243
2018-11-25,0.978475,0.980969
2018-11-24,0.98185,0.980224
2018-11-23,0.990912,0.98257
2018-11-22,0.984784,0.998188
2018-11-21,0.973448,0.987504
2018-11-20,0.977554,0.968799
2018-11-19,0.993963,0.98273
2018-11-18,0.985216,0.992533
2018-11-17,0.989956,0.985869
2018-11-16,0.983179,0.987027
2018-11-15,0.972578,0.982022
2018-11-14,0.9832,0.966644
2018-11-13,0.987837,0.985118
2018-11-12,0.990272,0.989148
2018-11-11,0.997203,0.990462
2018-11-10,0.995397,0.99718
2018-11-09,0.994384,0.994832
2018-11-08,0.992254,0.994333
2018-11-07,0.993524,0.99327
2018-11-06,0.994805,0.992796
2018-11-05,0.989849,0.993176
2018-11-04,0.99902,0.988708
2018-11-03,0.993098,0.999433
2018-11-02,0.990714,0.993501
2018-11-01,0.987386,0.99172
2018-10-31,0.998544,0.988122
2018-10-30,0.995925,0.996671
2018-10-29,0.996364,0.996859
2018-10-28,0.995223,0.998453
2018-10-27,0.987778,0.993097
2018-10-26,0.988571,0.989789
2018-10-25,0.990443,0.988791
2018-10-24,0.986011,0.988612
2018-10-23,0.984913,0.987962
2018-10-22,0.985726,0.983998
2018-10-21,0.984348,0.983548
2018-10-20,0.988241,0.983831
2018-10-19,0.981291,0.987712
2018-10-18,0.972522,0.980858
2018-10-17,0.977078,0.971225
2018-10-16,0.979243,0.975152
2018-10-15,0.993084,0.980138
2018-10-14,0.987869,0.98957
2018-10-13,0.995036,0.988046
2018-10-12,0.998704,0.994102
2018-10-11,0.992934,0.993026
2018-10-10,0.995332,0.993502
2018-10-09,0.996374,0.996779
2018-10-08,0.996229,0.995814
2018-10-07,0.997938,0.996617
2018-10-06,0.996503,0.997177
2018-10-05,0.996195,0.995778
2018-10-04,0.99834,0.996185
2018-10-03,1,0.998569
2018-10-02,0.99538,0.999741
2018-10-01,0.996818,0.997925
2018-09-30,1,1
2018-09-29,1,0.999602
2018-09-28,0.994787,1
2018-09-27,1,0.997107
2018-09-26,1,1
2018-09-25,1.01,1
2018-09-24,0.999409,1
2018-09-23,0.996163,0.999512
2018-09-22,0.992045,1
2018-09-21,0.998697,0.994428
2018-09-20,0.999453,1
2018-09-19,1.01,1
2018-09-18,1.01,1
2018-09-17,0.999014,1
2018-09-16,1,1
2018-09-15,1.01,1
2018-09-14,0.998975,1
2018-09-13,1,1.01
2018-09-12,1,1
2018-09-11,0.99645,1
2018-09-10,0.998831,1
2018-09-09,1,1
2018-09-08,1.01,1
2018-09-07,1,1.01
2018-09-06,1.01,1
2018-09-05,0.999856,1.01
2018-09-04,0.999627,0.999517
2018-09-03,0.995396,0.998642
2018-09-02,0.996865,0.997839
2018-09-01,1,0.996813
2018-08-31,1,1
2018-08-30,0.999735,1
2018-08-29,1,1
2018-08-28,0.99767,0.999395
2018-08-27,1,0.997802
2018-08-26,1,0.999227
2018-08-25,0.998537,1
2018-08-24,0.998429,1
2018-08-23,1,0.998976
2018-08-22,1,1
2018-08-21,1.01,1
2018-08-20,1,1.01
2018-08-19,1.01,1
2018-08-18,1,1
2018-08-17,1,0.997761
2018-08-16,1,1
2018-08-15,0.99503,1
2018-08-14,1,0.997543
2018-08-13,1,1
2018-08-12,1.01,1
2018-08-11,1,1.01
2018-08-10,1,1
2018-08-09,1,1
2018-08-08,1,1
2018-08-07,0.999416,1
2018-08-06,1,1
2018-08-05,0.997972,0.999347
2018-08-04,1,0.998505
2018-08-03,1,0.999095
2018-08-02,0.998746,1
2018-08-01,0.999215,0.999409
2018-07-31,0.999708,0.999507
2018-07-30,0.999317,0.99891
2018-07-29,0.996403,0.998919
2018-07-28,0.995606,0.997887
2018-07-27,0.999553,0.997118
2018-07-26,0.99674,0.997951
2018-07-25,0.992372,0.998791
2018-07-24,0.997918,0.996505
2018-07-23,1,0.997496
2018-07-22,1,0.999843
2018-07-21,1,1
2018-07-20,0.998921,1
2018-07-19,1,0.998088
2018-07-18,0.999476,1
2018-07-17,1,1
2018-07-16,0.998966,0.999139
2018-07-15,1,0.998352
2018-07-14,1,1
2018-07-13,0.999377,1
2018-07-12,1,0.99907
2018-07-11,1,1
2018-07-10,1.01,1
2018-07-09,1,1.01
2018-07-08,1,1
2018-07-07,1,1.01
2018-07-06,1.01,1
2018-07-05,1,1.01
2018-07-04,0.998857,0.999195
2018-07-03,0.997445,1
2018-07-02,0.999402,0.998859
2018-07-01,0.997323,0.998821
2018-06-30,1,0.999192
2018-06-29,0.996047,1
2018-06-28,0.998823,0.997193
2018-06-27,1,0.997935
2018-06-26,0.998834,1
2018-06-25,1,1
2018-06-24,0.998875,1.01
2018-06-23,1,1
2018-06-22,1,1
2018-06-21,1,1
2018-06-20,1,0.998829
2018-06-19,1,1
2018-06-18,1,1
2018-06-17,1,1.01
2018-06-16,1,1
2018-06-15,1,1.01
2018-06-14,1,1
2018-06-13,1,1
2018-06-12,1,1
2018-06-11,1.01,1
2018-06-10,1.01,0.998215
2018-06-09,1,1.01
2018-06-08,0.99994,1
2018-06-07,0.999463,0.99875
2018-06-06,0.997917,1
2018-06-05,0.999263,1
2018-06-04,0.997714,1
2018-06-03,0.99203,1
2018-06-02,1,0.99353
2018-06-01,0.999088,1
2018-05-31,1,0.998003
2018-05-30,0.999487,0.999727
2018-05-29,0.99927,1
2018-05-28,1,1
2018-05-27,1,0.999182
2018-05-26,1,0.99989
2018-05-25,0.999292,1
2018-05-24,1,0.998818
2018-05-23,1,1
2018-05-22,1,1
2018-05-21,0.999592,1
2018-05-20,1,0.999117
2018-05-19,1,1
2018-05-18,1,1
2018-05-17,1,1
2018-05-16,1,0.99995
2018-05-15,1,1
2018-05-14,1,1
2018-05-13,1,1
2018-05-12,0.99975,1
2018-05-11,1,1
2018-05-10,0.999422,1
2018-05-09,1,1
2018-05-08,0.998745,1
2018-05-07,0.995351,0.997237
2018-05-06,0.995906,0.997202
2018-05-05,0.999448,0.996284
2018-05-04,1.01,0.998561
2018-05-03,0.996267,0.997973
2018-05-02,1,0.997464
