date,Adj open,Adj close,,,open,close
2019-02-09,0.081242,0.080808,,1000,81.242,80.808
2019-02-08,0.074717,0.081224,,1000,74.717,81.224
2019-02-07,0.074494,0.074688,,1000,74.494,74.688
2019-02-06,0.078064,0.074387,,1000,78.064,74.387
2019-02-05,0.079581,0.077882,,1000,79.581,77.882
2019-02-04,0.081296,0.07973,,1000,81.296,79.73
2019-02-03,0.083083,0.081347,,1000,83.083,81.347
2019-02-02,0.083289,0.08309,,1000,83.289,83.09
2019-02-01,0.082803,0.08358,,1000,82.803,83.58
2019-01-31,0.085655,0.082631,,1000,85.655,82.631
2019-01-30,0.083717,0.085634,,1000,83.717,85.634
2019-01-29,0.088323,0.083923,,1000,88.323,83.923
2019-01-28,0.096387,0.087904,,1000,96.387,87.904
2019-01-27,0.099888,0.096316,,1000,99.888,96.316
2019-01-26,0.101689,0.100014,,1000,101.689,100.014
2019-01-25,0.101969,0.101741,,1000,101.969,101.741
2019-01-24,0.10237,0.10221,,1000,102.37,102.21
2019-01-23,0.104134,0.102576,,1000,104.134,102.576
2019-01-22,0.10365,0.104103,,1000,103.65,104.103
2019-01-21,0.104683,0.10338,,1000,104.683,103.38
2019-01-20,0.108195,0.104702,,1000,108.195,104.702
2019-01-19,0.106863,0.108304,,1000,106.863,108.304
2019-01-18,0.108312,0.106821,,1000,108.312,106.821
2019-01-17,0.106708,0.108461,,1000,106.708,108.461
2019-01-16,0.105837,0.106891,,1000,105.837,106.891
2019-01-15,0.109422,0.105685,,1000,109.422,105.685
2019-01-14,0.103649,0.109649,,1000,103.649,109.649
2019-01-13,0.106758,0.103609,,1000,106.758,103.609
2019-01-12,0.107269,0.106764,,1000,107.269,106.764
2019-01-11,0.108776,0.107332,,1000,108.776,107.332
2019-01-10,0.12383,0.109879,,1000,123.83,109.879
2019-01-09,0.123213,0.123774,,1000,123.213,123.774
2019-01-08,0.12326,0.123119,,1000,123.26,123.119
2019-01-07,0.120303,0.12322,,1000,120.303,123.22
2019-01-06,0.114073,0.120384,,1000,114.073,120.384
2019-01-05,0.115128,0.114046,,1000,115.128,114.046
2019-01-04,0.113778,0.115361,,1000,113.778,115.361
2019-01-03,0.118946,0.113825,,1000,118.946,113.825
2019-01-02,0.116054,0.119331,,1000,116.054,119.331
2019-01-01,0.112932,0.11593,,1000,112.932,115.93
2018-12-31,0.117709,0.112813,,1000,117.709,112.813
2018-12-30,0.118284,0.11743,,1000,118.284,117.43
2018-12-29,0.121677,0.118036,,1000,121.677,118.036
2018-12-28,0.110513,0.121383,,1000,110.513,121.383
