date,Adj open,Adj close,,,open,close
2019-04-24,0.321114,0.302318,,1000,321.114,302.318
2019-04-23,0.323844,0.321222,,1000,323.844,321.222
2019-04-22,0.322277,0.323934,,1000,322.277,323.934
2019-04-21,0.328678,0.322449,,1000,328.678,322.449
2019-04-20,0.331871,0.328476,,1000,331.871,328.476
2019-04-19,0.337062,0.331902,,1000,337.062,331.902
2019-04-18,0.335476,0.337065,,1000,335.476,337.065
2019-04-17,0.327157,0.335453,,1000,327.157,335.453
2019-04-16,0.320998,0.327218,,1000,320.998,327.218
2019-04-15,0.328841,0.320913,,1000,328.841,320.913
2019-04-14,0.32616,0.328809,,1000,326.16,328.809
2019-04-13,0.326386,0.326031,,1000,326.386,326.031
2019-04-12,0.330664,0.326346,,1000,330.664,326.346
2019-04-11,0.354828,0.330984,,1000,354.828,330.984
2019-04-10,0.349425,0.354792,,1000,349.425,354.792
2019-04-09,0.358307,0.349462,,1000,358.307,349.462
2019-04-08,0.361143,0.358234,,1000,361.143,358.234
2019-04-07,0.354406,0.359856,,1000,354.406,359.856
2019-04-06,0.361837,0.354405,,1000,361.837,354.405
2019-04-05,0.332685,0.361803,,1000,332.685,361.803
2019-04-04,0.342286,0.332513,,1000,342.286,332.513
2019-04-03,0.351309,0.342234,,1000,351.309,342.234
2019-04-02,0.312805,0.351499,,1000,312.805,351.499
2019-04-01,0.309195,0.312747,,1000,309.195,312.747
2019-03-31,0.31073,0.309229,,1000,310.73,309.229
2019-03-30,0.307655,0.310632,,1000,307.655,310.632
2019-03-29,0.309269,0.307929,,1000,309.269,307.929
2019-03-28,0.312383,0.309246,,1000,312.383,309.246
2019-03-27,0.305421,0.312465,,1000,305.421,312.465
2019-03-26,0.303808,0.30506,,1000,303.808,305.06
2019-03-25,0.309446,0.304055,,1000,309.446,304.055
2019-03-24,0.312396,0.308992,,1000,312.396,308.992
2019-03-23,0.311343,0.312359,,1000,311.343,312.359
2019-03-22,0.311342,0.311541,,1000,311.342,311.541
2019-03-21,0.31996,0.312718,,1000,319.96,312.718
2019-03-20,0.319346,0.31961,,1000,319.346,319.61
2019-03-19,0.316756,0.319281,,1000,316.756,319.281
2019-03-18,0.317716,0.31744,,1000,317.716,317.44
2019-03-17,0.320387,0.317612,,1000,320.387,317.612
2019-03-16,0.315066,0.320468,,1000,315.066,320.468
2019-03-15,0.312733,0.315052,,1000,312.733,315.052
2019-03-14,0.31387,0.312955,,1000,313.87,312.955
2019-03-13,0.310611,0.314098,,1000,310.611,314.098
2019-03-12,0.311138,0.310201,,1000,311.138,310.201
2019-03-11,0.313175,0.311065,,1000,313.175,311.065
2019-03-10,0.314266,0.313107,,1000,314.266,313.107
2019-03-09,0.309751,0.313826,,1000,309.751,313.826
2019-03-08,0.315044,0.310087,,1000,315.044,310.087
2019-03-07,0.317192,0.314766,,1000,317.192,314.766
2019-03-06,0.316674,0.317031,,1000,316.674,317.031
2019-03-05,0.305095,0.316507,,1000,305.095,316.507
2019-03-04,0.312021,0.305133,,1000,312.021,305.133
2019-03-03,0.314857,0.312554,,1000,314.857,312.554
2019-03-02,0.316911,0.315126,,1000,316.911,315.126
2019-03-01,0.315066,0.317312,,1000,315.066,317.312
2019-02-28,0.313115,0.315078,,1000,313.115,315.078
2019-02-27,0.319677,0.313106,,1000,319.677,313.106
2019-02-26,0.327779,0.319477,,1000,327.779,319.477
2019-02-25,0.300708,0.32851,,1000,300.708,328.51
2019-02-24,0.332942,0.301443,,1000,332.942,301.443
2019-02-23,0.321314,0.33262,,1000,321.314,332.62
2019-02-22,0.321449,0.321904,,1000,321.449,321.904
2019-02-21,0.332869,0.321291,,1000,332.869,321.291
2019-02-20,0.323572,0.33288,,1000,323.572,332.88
2019-02-19,0.321427,0.323768,,1000,321.427,323.768
2019-02-18,0.303084,0.321568,,1000,303.084,321.568
2019-02-17,0.301571,0.30337,,1000,301.571,303.37
2019-02-16,0.301602,0.301703,,1000,301.602,301.703
2019-02-15,0.302129,0.301759,,1000,302.129,301.759
2019-02-14,0.304017,0.301909,,1000,304.017,301.909
2019-02-13,0.305429,0.304284,,1000,305.429,304.284
2019-02-12,0.302569,0.30519,,1000,302.569,305.19
2019-02-11,0.310034,0.302741,,1000,310.034,302.741
2019-02-10,0.311253,0.309909,,1000,311.253,309.909
2019-02-09,0.311578,0.311284,,1000,311.578,311.284
2019-02-08,0.291668,0.311683,,1000,291.668,311.683
2019-02-07,0.290691,0.291618,,1000,290.691,291.618
2019-02-06,0.29943,0.290727,,1000,299.43,290.727
2019-02-05,0.299763,0.299239,,1000,299.763,299.239
2019-02-04,0.30258,0.300198,,1000,302.58,300.198
2019-02-03,0.310429,0.302352,,1000,310.429,302.352
2019-02-02,0.308326,0.310912,,1000,308.326,310.912
2019-02-01,0.310839,0.308517,,1000,310.839,308.517
2019-01-31,0.320704,0.310036,,1000,320.704,310.036
2019-01-30,0.289425,0.320461,,1000,289.425,320.461
2019-01-29,0.29506,0.289558,,1000,295.06,289.558
2019-01-28,0.30936,0.294863,,1000,309.36,294.863
2019-01-27,0.314854,0.309439,,1000,314.854,309.439
2019-01-26,0.31726,0.314235,,1000,317.26,314.235
2019-01-25,0.317859,0.317165,,1000,317.859,317.165
2019-01-24,0.316416,0.317598,,1000,316.416,317.598
2019-01-23,0.319566,0.316492,,1000,319.566,316.492
2019-01-22,0.321078,0.319491,,1000,321.078,319.491
2019-01-21,0.321179,0.32079,,1000,321.179,320.79
2019-01-20,0.33122,0.321177,,1000,331.22,321.177
2019-01-19,0.325702,0.331001,,1000,325.702,331.001
2019-01-18,0.329196,0.324277,,1000,329.196,324.277
2019-01-17,0.32969,0.329353,,1000,329.69,329.353
2019-01-16,0.326946,0.329701,,1000,326.946,329.701
2019-01-15,0.333912,0.327179,,1000,333.912,327.179
2019-01-14,0.318354,0.333766,,1000,318.354,333.766
2019-01-13,0.328662,0.317863,,1000,328.662,317.863
2019-01-12,0.333004,0.3288,,1000,333.004,328.8
2019-01-11,0.331284,0.332904,,1000,331.284,332.904
2019-01-10,0.371464,0.332652,,1000,371.464,332.652
2019-01-09,0.365886,0.37089,,1000,365.886,370.89
2019-01-08,0.36442,0.365315,,1000,364.42,365.315
2019-01-07,0.368854,0.364347,,1000,368.854,364.347
2019-01-06,0.35475,0.368395,,1000,354.75,368.395
2019-01-05,0.356347,0.355275,,1000,356.347,355.275
2019-01-04,0.359753,0.356747,,1000,359.753,356.747
2019-01-03,0.374505,0.360224,,1000,374.505,360.224
2019-01-02,0.365675,0.375243,,1000,365.675,375.243
2019-01-01,0.352512,0.364771,,1000,352.512,364.771
2018-12-31,0.371051,0.352706,,1000,371.051,352.706
2018-12-30,0.365248,0.369581,,1000,365.248,369.581
2018-12-29,0.378346,0.367252,,1000,378.346,367.252
2018-12-28,0.341807,0.376852,,1000,341.807,376.852
2018-12-27,0.379106,0.341162,,1000,379.106,341.162
2018-12-26,0.379991,0.378693,,1000,379.991,378.693
2018-12-25,0.408439,0.380872,,1000,408.439,380.872
2018-12-24,0.372398,0.406799,,1000,372.398,406.799
2018-12-23,0.363045,0.37127,,1000,363.045,371.27
2018-12-22,0.358885,0.362308,,1000,358.885,362.308
2018-12-21,0.376756,0.35857,,1000,376.756,358.57
2018-12-20,0.347361,0.378199,,1000,347.361,378.199
2018-12-19,0.35506,0.351956,,1000,355.06,351.956
2018-12-18,0.329022,0.350162,,1000,329.022,350.162
2018-12-17,0.288101,0.328453,,1000,288.101,328.453
2018-12-16,0.285911,0.287929,,1000,285.911,287.929
2018-12-15,0.288699,0.285883,,1000,288.699,285.883
2018-12-14,0.299972,0.28879,,1000,299.972,288.79
2018-12-13,0.30766,0.300026,,1000,307.66,300.026
2018-12-12,0.300671,0.307323,,1000,300.671,307.323
2018-12-11,0.3031,0.301345,,1000,303.1,301.345
2018-12-10,0.313485,0.303766,,1000,313.485,303.766
2018-12-09,0.306451,0.31337,,1000,306.451,313.37
2018-12-08,0.30244,0.307269,,1000,302.44,307.269
2018-12-07,0.310837,0.301997,,1000,310.837,301.997
